author,belong,booktitle,id,title,university,year
"Deqing Yang,Yanghua Xiao,Yangqiu Song,Junjun Zhang,Kezun Zhang,Wei Wang",Wei Wang 0009,WWW (Companion Volume),148,Tag propagation based recommendation across diverse social media.,Fudan University,2014
"Zijing Tan,Liyong Zhang,Wei Wang,Baile Shi",Wei Wang 0009,Inf. Process. Manage.,149,XML data exchange with target constraints.,Fudan University,2013
"Yang Wang,Peng Wang,Jian Pei,Wei Wang,Sheng Huang",Wei Wang 0009,PVLDB,150,A Data-adaptive and Dynamic Segmentation Index for Whole Matching on Time Series.,Fudan University,2013
"Yujia Li,Xianmang He,Wei Wang,HuaHui Chen,Zhihui Wang",Wei Wang 0009,APWeb,151,Preservation of Proximity Privacy in Publishing Categorical Sensitive Data.,Fudan University,2013
"Wen Chan,Weidong Yang,Jinhui Tang,Jintao Du,Xiangdong Zhou,Wei Wang",Wei Wang 0009,CIKM,152,Community question topic categorization via hierarchical kernelized classification.,Fudan University,2013
"Wei Wang,Zeng-li Liu,Chen Lin,Weiwei Sha",Wei Wang 0009,CIS,153,Harmonic Detection of Power System Based on SVD and EMD.,Fudan University,2013
"Xiaomin Xu,Yiqi Lu,Sheng Huang,Yanghua Xiao,Wei Wang",Wei Wang 0009,ECML/PKDD (3),154,Incremental Sensor Placement Optimization on Water Network.,Fudan University,2013
"Wanyun Cui,Yanghua Xiao,Haixun Wang,Yiqi Lu,Wei Wang",Wei Wang 0009,SIGMOD Conference,155,Online search of overlapping communities.,Fudan University,2013
"Qiuhong Li,Wei Wang,Peng Wang,Ke Dai,Zhihui Wang,Yang Wang,Weiwei Sun",Wei Wang 0009,WAIM,156,Combination of In-Memory Graph Computation with MapReduce: A Subgraph-Centric Method of PageRank.,Fudan University,2013
"Yujia Li,Dong Li,Xianmang He,Wei Wang,HuaHui Chen",Wei Wang 0009,WAIM,157,"The Hardness of (¦Å, m)-anonymity.",Fudan University,2013
"Qiuhong Li,Ke Dai,Wei Wang,Peng Wang,Rongming He,Mingxiu Dong",Wei Wang 0009,Web Intelligence,158,Exploring Computation Locality of Graph Mining Algorithms on MapReduce.,Fudan University,2013
"Hao Hu,Mingxi Zhang,Zhenying He,Peng Wang,Wei Wang",Wei Wang 0009,Web Intelligence,159,Diversifying Query Suggestions by Using Topics from Wikipedia.,Fudan University,2013
"Hiroshi Motoda,Zhaohui Wu,Longbing Cao,Osmar R. Za?ane,Min Yao,Wei Wang",Wei Wang 0009,ADMA (1),160,"Advanced Data Mining and Applications, 9th International Conference, ADMA 2013, Hangzhou, China, December 14-16, 2013, Proceedings, Part I",Fudan University,2013
"Hiroshi Motoda,Zhaohui Wu,Longbing Cao,Osmar R. Za?ane,Min Yao,Wei Wang",Wei Wang 0009,ADMA (2),161,"Advanced Data Mining and Applications - 9th International Conference, ADMA 2013, Hangzhou, China, December 14-16, 2013, Proceedings, Part II",Fudan University,2013
"Wen Chan,Xiangdong Zhou,Wei Wang,Tat-Seng Chua",Wei Wang 0009,ACL (1),162,Community Answer Summarization for Multi-Sentence Question with Group L1 Regularization.,Fudan University,2012
"Sheng Huang,Yanghua Xiao,Yiqi Lu,Wei Wang,Yu Wang",Wei Wang 0009,COMPSAC,163,XMLSnippet: A Coding Assistant for XML Configuration Snippet Recommendation.,Fudan University,2012
"Xianmang He,Wei Wang,HuaHui Chen,Guang Jin,Yefang Chen,Yihong Dong",Wei Wang 0009,DEXA (1),164,Enhancing Utility and Privacy-Safety via Semi-homogenous Generalization.,Fudan University,2012
"Yanghua Xiao,Ji Hong,Wanyun Cui,Zhenying He,Wei Wang,Guodong Feng",Wei Wang 0009,ICDE,165,Branch Code: A Labeling Scheme for Efficient Query Answering on Trees.,Fudan University,2012
"Sheng Huang,Yiqi Lu,Yanghua Xiao,Wei Wang",Wei Wang 0009,ICSE,166,Mining application repository to recommend XML configuration snippets.,Fudan University,2012
"Sheng Huang,Xiaomin Xu,Yanghua Xiao,Wei Wang",Wei Wang 0009,ICWS,167,Cloud Based Test Coverage Service.,Fudan University,2012
"Huisheng Zhu,Peng Wang,Wei Wang,Baile Shi",Wei Wang 0009,IJCNN,168,Discovering Frequent Closed Episodes from an event sequence.,Fudan University,2012
"Xiaomin Xu,Sheng Huang,Yanghua Xiao,Wei Wang",Wei Wang 0009,SPLASH,169,SCuV: a novel software clustering and visualization tool.,Fudan University,2012
"Deqing Yang,Yanghua Xiao,Bo Xu,Hanghang Tong,Wei Wang,Sheng Huang",Wei Wang 0009,ECML/PKDD (2),170,Which Topic Will You Follow?,Fudan University,2012
"Jidong Chen,Wentao Wu 0001,Hang Guo,Wei Wang",Wei Wang 0009,SDM,171,Context-aware Search for Personal Information Management Systems.,Fudan University,2012
"Jing Zeng,Zhenying He,Wei Wang,Hai Huang",Wei Wang 0009,WAIM Workshops,172,A Classification Framework for Similar Music Search.,Fudan University,2012
"Mingxi Zhang,Zhenying He,Hao Hu,Wei Wang",Wei Wang 0009,Web Intelligence,173,E-rank: A Structural-Based Similarity Measure in Social Networks.,Fudan University,2012
"Jianping Zeng,Jiangjiao Duan,Wei Wang,Chengrong Wu",Wei Wang 0009,Expert Syst. Appl.,174,Semantic multi-grain mixture topic model for text analysis.,Fudan University,2011
"Qiyang Duan,Peng Wang,Mingxi Wu,Wei Wang,Sheng Huang",Wei Wang 0009,DEXA (2),175,Approximate Query on Historical Stream Data.,Fudan University,2011
"Qiuhong Li,Zhihui Wang,Wei Wang,Yimin Liu,Peng Wang,Tao Yu",Wei Wang 0009,ICDM Workshops,176,LI-MR: A Local Iteration Map/Reduce Model and Its Application to Mine Community Structure in Large-Scale Networks.,Fudan University,2011
"Huisheng Zhu,Peng Wang,Wei Wang,Baile Shi",Wei Wang 0009,ICDM Workshops,177,Stream Prediction Using Representative Episode Rules.,Fudan University,2011
"Sheng Huang,Zhong Jie Li,Jun Zhu,Yanghua Xiao,Wei Wang",Wei Wang 0009,ICSM,178,A novel approach to regression test selection for J2EE applications.,Fudan University,2011
"Sheng Huang,Zhong Jie Li,Ying Liu,Jun Zhu,Yanghua Xiao,Wei Wang",Wei Wang 0009,ICWS,179,Regression Testing as a Service.,Fudan University,2011
"Xianmang He,Yanghua Xiao,Yujia Li,Qing Wang,Wei Wang,Baile Shi",Wei Wang 0009,PAKDD Workshops,180,Permutation Anonymization: Improving Anatomy for Privacy Preservation in Data Publication.,Fudan University,2011
"Jidong Chen,Hang Guo,Wentao Wu 0001,Wei Wang",Wei Wang 0009,SIGIR,181,iMecho: a context-aware desktop search system.,Fudan University,2011
"Peng Wang,Haixun Wang,Wei Wang",Wei Wang 0009,SIGMOD Conference,182,Finding semantics in time series.,Fudan University,2011
"Xianmang He,Yanghua Xiao,Yujia Li,Qing Wang,Wei Wang,Baile Shi",Wei Wang 0009,SSDBM,183,Dynamic Anonymization for Marginal Publication.,Fudan University,2011
"Hui Wang,Jinyuan Huang,Xiaomin Xu,Yanghua Xiao,Wei Wang",Wei Wang 0009,CoRR,184,Robustness of Complex Networks against Attacks Guided by Damage,Fudan University,2011
"Jianping Zeng,Chengrong Wu,Wei Wang",Wei Wang 0009,Expert Syst. Appl.,185,Multi-grain hierarchical topic extraction algorithm for text mining.,Fudan University,2010
"Ai-Hua Wu,Zijing Tan,Wei Wang",Wei Wang 0009,J. Comput. Sci. Technol.,186,Annotation Based Query Answer over Inconsistent Database.,Fudan University,2010
"Zijing Tan,Chengfei Liu,Wei Wang,Baile Shi",Wei Wang 0009,Journal of Systems and Software,187,Consistent query answers from virtually integrated XML data.,Fudan University,2010
"Zhenhua Huang,Sheng-Li Sun,Wei Wang",Wei Wang 0009,Knowl. Inf. Syst.,188,Efficient mining of skyline objects in subspaces over data streams.,Fudan University,2010
"Jiaqi Zhang,Zhenying He,Yue Tao,Xiansheng Wang,Hao Hu,Wei Wang",Wei Wang 0009,DEXA (1),189,Efficient SLCA-Based Keyword Search on XML Databases: An Iterative-Skip Approach.,Fudan University,2010
"Wentao Wu 0001,Yanghua Xiao,Wei Wang,Zhenying He,Zhihui Wang",Wei Wang 0009,EDBT,190,k-symmetry model for identity anonymization in social networks.,Fudan University,2010
"Huisheng Zhu,Peng Wang,Xianmang He,Yujia Li,Wei Wang,Baile Shi",Wei Wang 0009,ICDM,191,Efficient Episode Mining with Minimal and Non-overlapping Occurrences.,Fudan University,2010
"Peng Wang,Haixun Wang,Majin Liu,Wei Wang",Wei Wang 0009,SIGMOD Conference,192,An algorithmic approach to event summarization.,Fudan University,2010
"Jiangjiao Duan,Wei Wang,Jianping Zeng,Dongzhan Zhang,Baile Shi",Wei Wang 0009,Expert Syst. Appl.,193,A prediction algorithm for time series based on adaptive model selection.,Fudan University,2009
"Hang Guo,Jidong Chen,Wentao Wu 0001,Wei Wang",Wei Wang 0009,CloudDb,194,Personalization as a service: the architecture and a case study.,Fudan University,2009
"Jidong Chen,Hang Guo,Wentao Wu 0001,Wei Wang",Wei Wang 0009,CIKM,195,iMecho: an associative memory based desktop search system.,Fudan University,2009
"Zijing Tan,Chengfei Liu,Wei Wang,Baile Shi",Wei Wang 0009,DASFAA,196,Consistent Answers from Integrated XML Data.,Fudan University,2009
"Yanghua Xiao,Wentao Wu 0001,Jian Pei,Wei Wang,Zhenying He",Wei Wang 0009,EDBT,197,Efficiently indexing shortest paths by exploiting symmetry in graphs.,Fudan University,2009
"Chen Lin,Jiang-Ming Yang,Rui Cai,Xin-Jing Wang,Wei Wang,Lei Zhang 0001",Wei Wang 0009,SIGIR,198,Simultaneously modeling semantics and structure of threaded discussions: a sparse coding approach and its applications.,Fudan University,2009
"Chen Lin,Jiang-Ming Yang,Rui Cai,Xin-Jing Wang,Wei Wang,Lei Zhang 0001",Wei Wang 0009,WWW,199,Modeling semantics and structure of discussion threads.,Fudan University,2009
"Zhenhua Huang,Jiankui Guo,Sheng-Li Sun,Wei Wang",Wei Wang 0009,J. Comput. Sci. Technol.,200,Efficient Optimization of Multiple Subspace Skyline Queries.,Fudan University,2008
"Yanghua Xiao,Hua Dong,Wentao Wu 0001,Momiao Xiong,Wei Wang,Baile Shi",Wei Wang 0009,Pattern Recognition,201,Structure-based graph distance measures of high degree of precision.,Fudan University,2008
"Zijing Tan,Wei Wang,Baile Shi",Wei Wang 0009,AINA,202,Reasoning and Merging in XML Data Integration.,Fudan University,2008
"Yanghua Xiao,Wentao Wu 0001,Wei Wang,Zhenying He",Wei Wang 0009,DASFAA,203,Efficient Algorithms for Node Disjoint Subgraph Homeomorphism Determination.,Fudan University,2008
"Mei Wang,Hongtao Xu,Guoyu Hao,Xiangdong Zhou,Wei Wang,Qi Zhang,Baile Shi",Wei Wang 0009,ICDE,204,PictureBook: A Text-and-Image Summary System for Web Search Result.,Fudan University,2008
"Xiaochen Wu,Peng Wang,Wei Wang,Baile Shi",Wei Wang 0009,PAKDD,205,Data-Aware Clustering Hierarchy for Wireless Sensor Networks.,Fudan University,2008
"Chen Lin,Haofeng Zhou,Zhenhua Huang,Wei Wang",Wei Wang 0009,WAIM,206,REC: A Novel Model to Rank Experts in Communities.,Fudan University,2008
"Zhihui Wang,Wei Wang,Baile Shi",Wei Wang 0009,WAIM,207,A New Approach for Detecting Anonymity of Patterns.,Fudan University,2008
"Zijing Tan,Zijun Zhang,Wei Wang,Baile Shi",Wei Wang 0009,Information  Software Technology,208,Consistent data for inconsistent XML document.,Fudan University,2007
"Jian Pei,Jiawei Han 0001,Wei Wang",Wei Wang 0009,J. Intell. Inf. Syst.,209,Constraint-based sequential pattern mining: the pattern-growth methods.,Fudan University,2007
"Peng Wang,Haixun Wang,Xiaochen Wu,Wei Wang,Baile Shi",Wei Wang 0009,IEEE Trans. Knowl. Data Eng.,210,A Low-Granularity Classifier for Data Streams with Concept Drifts and Biased Class Distribution.,Fudan University,2007
"Zhihui Wang,Wei Wang,Baile Shi,S. H. Boey",Wei Wang 0009,DASFAA,211,Privacy-Preserving Frequent Pattern Sharing.,Fudan University,2007
"Zhihui Wang,Wei Wang,Baile Shi",Wei Wang 0009,ICDE,212,Blocking Inference Channels in Frequent Pattern Sharing.,Fudan University,2007
"Jin Yuan,Xiangdong Zhou,Junqi Zhang,Mei Wang,Qi Zhang,Wei Wang,Baile Shi",Wei Wang 0009,ICME,213,Positive Sample Enhanced Angle-Diversity Active Learning for SVM Based Image Retrieval.,Fudan University,2007
"Jin Yuan,Xiangdong Zhou,Hongtao Xu,Mei Wang,Wei Wang",Wei Wang 0009,PCM,214,A Novel Active Learning Approach for SVM Based Web Image Retrieval.,Fudan University,2007
"Jian Pei,Jian Xu,Zhibin Wang,Wei Wang,Ke Wang 0001",Wei Wang 0009,SSDBM,215,Maintaining K-Anonymity against Incremental Updates.,Fudan University,2007
"Zhongmin Xiong,Wei Wang,Jian Pei",Wei Wang 0009,APWeb/WAIM,216,Active Rules Termination Analysis Through Conditional Formula Containing Updatable Variable.,Fudan University,2007
"Zijing Tan,Zijun Zhang,Wei Wang,Baile Shi",Wei Wang 0009,APWeb/WAIM,217,Computing Repairs for Inconsistent XML Document Using Chase.,Fudan University,2007
"Yanghua Xiao,Wentao Wu 0001,Wei Wang,Zhenying He",Wei Wang 0009,CoRR,218,Efficient Algorithms for Node Disjoint Subgraph Homeomorphism Determination,Fudan University,2007
"Jian Xu,Wei Wang,Jian Pei,Xiaoyuan Wang,Baile Shi,Ada Wai-Chee Fu",Wei Wang 0009,SIGKDD Explorations,219,Utility-based anonymization for privacy preservation with less information loss.,Fudan University,2006
"Zhenhua Huang,Wei Wang",Wei Wang 0009,ADMA,220,Mining the Useful Skyline Set Based on the Acceptable Difference.,Fudan University,2006
"Jianjun Xu,Jiaheng Lu,Wei Wang,Baile Shi",Wei Wang 0009,DASFAA,221,Effective Keyword Search in XML Documents Based on MIU.,Fudan University,2006
"Xiaoyuan Wang,Wei Wang",Wei Wang 0009,DASFAA,222,Continuous Expansion: Efficient Processing of Continuous Range Monitoring in Mobile Environments.,Fudan University,2006
"Zhenhua Huang,Wei Wang",Wei Wang 0009,DEXA,223,A Novel Incremental Maintenance Algorithm of SkyCube.,Fudan University,2006
"Zhihui Wang,Wei Wang,Baile Shi,S. H. Boey",Wei Wang 0009,ICDM Workshops,224,Preserving Private Knowledge in Frequent Pattern Mining.,Fudan University,2006
"Peng Wang,Haixun Wang,Wei Wang,Baile Shi,Philip S. Yu",Wei Wang 0009,ICDM,225,LOCI: Load Shedding through Class-Preserving Data Acquisition.,Fudan University,2006
"Jun Li 0017,Haofeng Zhou,Wei Wang",Wei Wang 0009,ICDM,226,Gradual Cube: Customize Profile on Mobile OLAP.,Fudan University,2006
"Zijing Tan,Wei Wang,Baile Shi",Wei Wang 0009,IMSCCS (2),227,Extending Tree Automata to Obtain Consistent Query Answer from Inconsistent XML Document.,Fudan University,2006
"Xufeng Zhang,Weiwei Sun,Wei Wang,Yahui Feng,Baile Shi",Wei Wang 0009,IMSCCS (2),228,Generating Incremental ETL Processes Automatically.,Fudan University,2006
"Jian Xu,Wei Wang,Jian Pei,Xiaoyuan Wang,Baile Shi,Ada Wai-Chee Fu",Wei Wang 0009,KDD,229,Utility-based anonymization using local recoding.,Fudan University,2006
"Zijing Tan,Wei Wang,Jianjun Xu,Baile Shi",Wei Wang 0009,KSEM,230,Repairing Inconsistent XML Documents.,Fudan University,2006
"Xiaoyuan Wang,Qing Zhang,Weiwei Sun,Wei Wang,Baile Shi",Wei Wang 0009,MDM,231,A Coverage-Based Maximum Lifetime Data Gathering Algorithm in Sensor Networks.,Fudan University,2006
"Bing Liu 0009,Zhihui Wang,Xiaoming Yang,Wei Wang,Baile Shi",Wei Wang 0009,RSKT,232,A Bottom-Up Distance-Based Index Tree for Metric Space.,Fudan University,2006
"Bing Liu 0009,Jianjun Xu,Zhihui Wang,Wei Wang,Baile Shi",Wei Wang 0009,RSKT,233,Subsequence Similarity Search Under Time Shifting.,Fudan University,2006
"Junqi Zhang,Xiangdong Zhou,Wei Wang,Baile Shi,Jian Pei",Wei Wang 0009,VLDB,234,Using High Dimensional Indexes to Support Relevance Feedback Based Interactive Images Retrival.,Fudan University,2006
"Zhihui Wang,Bing Liu 0009,Wei Wang,Haofeng Zhou,Baile Shi",Wei Wang 0009,WAIM,235,An Effective Approach for Hiding Sensitive Knowledge in Data Publishing.,Fudan University,2006
"Xiaoyuan Wang,Weiwei Sun,Wei Wang",Wei Wang 0009,WAIM,236,Bulkloading Updates for Moving Objects.,Fudan University,2006
"Bing Liu 0009,Yuliang Shi,Zhihui Wang,Wei Wang,Baile Shi",Wei Wang 0009,WAIM,237,Dynamic Incremental Data Summarization for Hierarchical Clustering.,Fudan University,2006
"Bing Liu 0009,Zhihui Wang,Jingtao Li,Wei Wang,Baile Shi",Wei Wang 0009,WAIM,238,Tight Bounds on the Estimation Distance Using Wavelet.,Fudan University,2006
"Moonjung Cho,Jian Pei,Haixun Wang,Wei Wang",Wei Wang 0009,IJDWM,239,Preference-Based Frequent Pattern Mining.,Fudan University,2005
"Zheng-Fei Wang,Wei Wang,Baile Shi",Wei Wang 0009,CIT,240,Storage and Query over Encrypted Character and Numerical Data in Database.,Fudan University,2005
"Heping Yan,Bing Liu 0009,Xiaoming Yang,Wei Wang,Baile Shi,Genxing Yang",Wei Wang 0009,CIT,241,Controlling FD and MVD Inferences in MLS.,Fudan University,2005
"Jin Pan,Peng Wang,Wei Wang,Baile Shi,Genxing Yang",Wei Wang 0009,CIT,242,Efficient Algorithms for Mining Maximal Frequent Concatenate Sequences in Biological Datasets.,Fudan University,2005
"Jiangjiao Duan,Wei Wang,Bing Liu 0009,Yongsheng Xue,Haofeng Zhou,Baile Shi",Wei Wang 0009,CIT,243,Incorporating with Recursive Model Training in Time Series Clustering.,Fudan University,2005
"Zijing Tan,Jianjun Xu,Wei Wang,Baile Shi",Wei Wang 0009,CIT,244,Storing Normalized XML Documents in Normalized Relations.,Fudan University,2005
"Xiaoming Yang,Zhibin Wang,Bing Liu 0009,Shouzhi Zhang,Wei Wang,Bole Shi",Wei Wang 0009,CIT,245,Non-Almost-Derivable Frequent Itemsets Mining.,Fudan University,2005
"Zunping Cheng,Ding Zhou,Chen Wang,Jiankui Guo,Wei Wang,Baokang Ding,Baile Shi",Wei Wang 0009,APWeb,246,CLINCH: Clustering Incomplete High-Dimensional Data for Data Mining Application.,Fudan University,2005
"Chen Wang,Yongtai Zhu,Tianyi Wu,Wei Wang,Baile Shi",Wei Wang 0009,APWeb,247,Constraint-Based Graph Mining in Large Database.,Fudan University,2005
"Haixun Wang,Wei Wang",Wei Wang 0009,DASFAA,248,Stay Current and Relevant in Data Mining Research.,Fudan University,2005
"Ming Hua,Shouzhi Zhang,Wei Wang,Haofeng Zhou,Baile Shi",Wei Wang 0009,DaWaK,249,FMC: An Approach for Privacy Preserving OLAP.,Fudan University,2005
"Peng Wang,Haixun Wang,Xiaochen Wu,Wei Wang,Baile Shi",Wei Wang 0009,ICDM,250,On Reducing Classifier Granularity in Mining Concept-Drifting Data Streams.,Fudan University,2005
"Weiping Ge,Wei Wang,Xiaorong Li,Baile Shi",Wei Wang 0009,PAKDD,251,A Privacy-Preserving Classification Mining Algorithm.,Fudan University,2005
"Tianyi Wu,Jian Xu,Chen Wang,Wei Wang,Baile Shi",Wei Wang 0009,PAKDD,252,ADenTS: An Adaptive Density-Based Tree Structure for Approximating Aggregate Queries over Real Attributes.,Fudan University,2005
"Wei Wang,Chen Wang,Yongtai Zhu,Baile Shi,Jian Pei,Xifeng Yan,Jiawei Han 0001",Wei Wang 0009,SIGMOD Conference,253,GraphMiner: a structural pattern-mining system for large disk-based graph databases and its applications.,Fudan University,2005
"Xiaoyuan Wang,Qing Zhang,Weiwei Sun,Wei Wang,Baile Shi",Wei Wang 0009,WAIM,254,cGridex: Efficient Processing of Continuous Range Queries over Moving Objects.,Fudan University,2005
"Chen Wang,Mingsheng Hong,Wei Wang,Baile Shi",Wei Wang 0009,J. Comput. Sci. Technol.,255,Chopper: Efficient Algorithm for Tree Mining.,Fudan University,2004
"Wei Wang,Qingqing Yuan,Haofeng Zhou,Mingsheng Hong,Baile Shi",Wei Wang 0009,J. Comput. Sci. Technol.,256,Extracting Frequent Connected Subgraphs from Large Graph Sets.,Fudan University,2004
"Yong Yan,Peng Wang,Chen Wang,Haofeng Zhou,Wei Wang,Baile Shi",Wei Wang 0009,APWeb,257,ANNE: An Efficient Framework on View Selection Problem.,Fudan University,2004
"Zheng-Fei Wang,Jing Dai,Wei Wang,Baile Shi",Wei Wang 0009,CIS,258,Fast Query Over Encrypted Character Data in Database.,Fudan University,2004
"Ding Zhou,Zunping Cheng,Chen Wang,Haofeng Zhou,Wei Wang,Baile Shi",Wei Wang 0009,DASFAA,259,SUDEPHIC: Self-Tuning Density-Based Partitioning and Hierarchical Clustering.,Fudan University,2004
"Jun Tang,Dong Huang,Chen Wang,Wei Wang,Baile Shi",Wei Wang 0009,ER,260,GiSA: A Grid System for Genome Sequences Assembly.,Fudan University,2004
"Min Yang,Zunping Cheng,Ning Shang,Mi Zhang,Min Li,Jing Dai,Wei Wang,Dilin Mao,Chuanshan Gao",Wei Wang 0009,GCC,261,iOmS: An Agent-Based P2P Framework for Ubiquitous Workflow.,Fudan University,2004
"Chen Wang,Wei Wang,Jian Pei,Yongtai Zhu,Baile Shi",Wei Wang 0009,KDD,262,Scalable mining of large disk-based graph databases.,Fudan University,2004
"Chen Wang,Mingsheng Hong,Jian Pei,Haofeng Zhou,Wei Wang,Baile Shi",Wei Wang 0009,PAKDD,263,Efficient Pattern-Growth Methods for Frequent Tree Pattern Mining.,Fudan University,2004
"Haofeng Zhou,Yubo Lou,Qingqing Yuan,Wilfred Ng,Wei Wang,Baile Shi",Wei Wang 0009,IDEAS,264,Refining Web Authoritative Resource by Frequent Structures.,Fudan University,2003
"Mingsheng Hong,Haofeng Zhou,Wei Wang,Baile Shi",Wei Wang 0009,PAKDD,265,An Efficient Algorithm of Frequent Connected Subgraph Extraction.,Fudan University,2003
"Jian Pei,Jiawei Han 0001,Wei Wang",Wei Wang 0009,CIKM,266,Mining sequential patterns with constraints in large databases.,Fudan University,2002
"Qingqing Yuan,Yubo Lou,Haofeng Zhou,Wei Wang,Baile Shi",Wei Wang 0009,WAIM,267,Extract Frequent Pattern from Simple Graph Data.,Fudan University,2002
"Wei Wang,Yujun Wang,Baile Shi",Wei Wang 0009,J. Comput. Sci. Technol.,268,Dynamic Interval Index Structure in Constraint Database Systems.,Fudan University,2000
"Jiawei Han 0001,Shojiro Nishio,Hiroyuki Kawano,Wei Wang",Wei Wang 0009,Data Knowl. Eng.,269,Generalization-Based Data Mining in Object-Oriented Databases Using an Object Cube Model.,Fudan University,1998
"Jiawei Han 0001,Yongjian Fu,Wei Wang,Jenny Chiang,Wan Gong,Krzysztof Koperski,Deyi Li,Yijun Lu,Amynmohamed Rajan,Nebojsa Stefanovic,Betty Xia,Osmar R. Za?ane",Wei Wang 0009,KDD,270,DBMiner: A System for Mining Knowledge in Large Relational Databases.,Fudan University,1996
"Jiawei Han 0001,Yongjian Fu,Wei Wang,Jenny Chiang,Osmar R. Za?ane,Krzysztof Koperski",Wei Wang 0009,SIGMOD Conference,271,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases.,Fudan University,1996
"Nicholas J. Matiasz,Justin Wood,Wei Wang,Alcino J. Silva,William Hsu",Wei Wang 0010,Front. Neuroinform.,272,Computer-Aided Experiment Planning toward Causal Discovery in Neuroscience.,University of California Los Angeles,2017
"Chelsea J.-T. Ju,Zhuangtian Zhao,Wei Wang",Wei Wang 0010,IEEE/ACM Trans. Comput. Biology Bioinform.,273,Efficient Approach to Correct Read Alignment for Pseudogene Abundance Estimates.,University of California Los Angeles,2017
"Wei Cheng,Jingchao Ni,Kai Zhang 0001,Haifeng Chen,Guofei Jiang,Yu Shi,Xiang Zhang 0001,Wei Wang",Wei Wang 0010,TKDD,274,Ranking Causal Anomalies for System Fault Diagnosis via Temporal and Dynamical Analysis on Vanishing Correlations.,University of California Los Angeles,2017
"Justin Wood,Patrick Tan,Wei Wang,Corey W. Arnold",Wei Wang 0010,ICDE,275,Source-LDA: Enhancing Probabilistic Topic Models Using Prior Knowledge Sources.,University of California Los Angeles,2017
"Wenchao Yu,Charu C. Aggarwal,Wei Wang",Wei Wang 0010,WSDM,276,Temporally Factorized Network Modeling for Evolutionary Network Analysis.,University of California Los Angeles,2017
"Nitesh Chawla,Wei Wang",Wei Wang 0010,SDM,277,"Proceedings of the 2017 SIAM International Conference on Data Mining, Houston, Texas, USA, April 27-29, 2017.",University of California Los Angeles,2017
"Wei Cheng,Yu Shi,Xiang Zhang 0001,Wei Wang",Wei Wang 0010,BMC Bioinformatics,278,Sparse regression models for unraveling group and individual associations in eQTL mapping.,University of California Los Angeles,2016
"Wei Cheng,Xiang Zhang 0001,Feng Pan,Wei Wang",Wei Wang 0010,Knowl. Inf. Syst.,279,HICC: an entropy splitting-based framework for hierarchical co-clustering.,University of California Los Angeles,2016
"Wei Wang,Jure Leskovec",Wei Wang 0010,TKDD,280,Introduction to the Special Issue of Best Papers in ACM SIGKDD 2014.,University of California Los Angeles,2016
"Wei Cheng,Zhishan Guo,Xiang Zhang 0001,Wei Wang",Wei Wang 0010,TKDD,281,CGC: A Flexible and Robust Approach to Integrating Co-Regularized Multi-Domain Graph for Clustering.,University of California Los Angeles,2016
"Wei Cheng,Kai Zhang 0001,Haifeng Chen,Guofei Jiang,Zhengzhang Chen,Wei Wang",Wei Wang 0010,KDD,282,Ranking Causal Anomalies via Temporal and Dynamical Analysis on Vanishing Correlations.,University of California Los Angeles,2016
"Wei Cheng,Shi Yu,Xiang Zhang 0001,Wei Wang",Wei Wang 0010,BMC Bioinformatics,283,Fast and robust group-wise eQTL mapping using sparse graphical models.,University of California Los Angeles,2015
Wei Wang,Wei Wang 0010,AAAI,284,Data Science for Social Good - 2014 KDD Highlights.,University of California Los Angeles,2015
"Sepideh Mazrouee,Wei Wang",Wei Wang 0010,BIBM,285,HapColor: A graph coloring framework for polyploidy phasing.,University of California Los Angeles,2015
"Rui Liu,Wei Cheng,Hanghang Tong,Wei Wang,Xiang Zhang 0001",Wei Wang 0010,ICDM,286,Robust Multi-Network Clustering via Joint Cross-Domain Cluster Alignment.,University of California Los Angeles,2015
"Wenchao Yu,Ariyam Das,Justin Wood,Wei Wang,Carlo Zaniolo,Ping Luo",Wei Wang 0010,ICDM,287,Max-Intensity: Detecting Competitive Advertiser Communities in Sponsored Search Market.,University of California Los Angeles,2015
"Ruirui Li,Wei Wang",Wei Wang 0010,SDM,288,REAFUM: Representative Approximate Frequent Subgraph Mining.,University of California Los Angeles,2015
"Shunping Huang,James Holt,Chia-Yu Kao,Leonard McMillan,Wei Wang",Wei Wang 0010,Database,289,A novel multi-alignment pipeline for high-throughput sequencing data.,University of California Los Angeles,2014
"Wei Cheng,Xiang Zhang 0001,Zhishan Guo,Yu Shi,Wei Wang",Wei Wang 0010,Bioinformatics,290,Graph-regularized dual Lasso for robust eQTL mapping.,University of California Los Angeles,2014
"Zhaojun Zhang,Wei Wang",Wei Wang 0010,Bioinformatics,291,RNA-Skim: a rapid method for RNA-Seq quantification at transcript level.,University of California Los Angeles,2014
"Sepideh Mazrouee,Wei Wang",Wei Wang 0010,Bioinformatics,292,FastHap: fast and accurate single individual haplotype reconstruction using fuzzy conflict graphs.,University of California Los Angeles,2014
"Yu Xiang,Wei Wang,Xiang Zhang 0001,Zhenwei Li",Wei Wang 0010,EURASIP J. Wireless Comm. and Networking,293,Performance research on time-triggered Ethernet based on network calculus.,University of California Los Angeles,2014
"Wei Wang,Zhenyuan Wang",Wei Wang 0010,Fuzzy Sets and Systems,294,Total orderings defined on the set of all fuzzy numbers.,University of California Los Angeles,2014
